cell_id	cell	label	H	f	R	alpha	u	richness_mean	richness_median	richness_minimum	richness_maximum	richness_sd	shannon_mean	shannon_median	shannon_minimum	shannon_maximum	shannon_sd	simpson_mean	simpson_median	simpson_minimum	simpson_maximum	simpson_sd	hill_q1_mean	hill_q1_median	hill_q1_minimum	hill_q1_maximum	hill_q1_sd	hill_q2_mean	hill_q2_median	hill_q2_minimum	hill_q2_maximum	hill_q2_sd	evenness_mean	evenness_median	evenness_minimum	evenness_maximum	evenness_sd	total_variation_mean	total_variation_median	total_variation_minimum	total_variation_maximum	total_variation_sd	original_strains_lost_mean	original_strains_lost_median	original_strains_lost_minimum	original_strains_lost_maximum	original_strains_lost_sd	final_mutant_richness_mean	final_mutant_richness_median	final_mutant_richness_minimum	final_mutant_richness_maximum	final_mutant_richness_sd	mutant_abundance_fraction_mean	mutant_abundance_fraction_median	mutant_abundance_fraction_minimum	mutant_abundance_fraction_maximum	mutant_abundance_fraction_sd	generated_mutant_lineages_mean	generated_mutant_lineages_median	generated_mutant_lineages_minimum	generated_mutant_lineages_maximum	generated_mutant_lineages_sd	maximum_mutants_in_one_transition_mean	maximum_mutants_in_one_transition_median	maximum_mutants_in_one_transition_minimum	maximum_mutants_in_one_transition_maximum	maximum_mutants_in_one_transition_sd	adult_mutant_lineages_mean	adult_mutant_lineages_median	adult_mutant_lineages_minimum	adult_mutant_lineages_maximum	adult_mutant_lineages_sd	released_mutant_lineages_mean	released_mutant_lineages_median	released_mutant_lineages_minimum	released_mutant_lineages_maximum	released_mutant_lineages_sd	root_richness_mean	root_richness_median	root_richness_minimum	root_richness_maximum	root_richness_sd	root_total_variation_mean	root_total_variation_median	root_total_variation_minimum	root_total_variation_maximum	root_total_variation_sd	infection_richness_g5_mean	infection_richness_g5_median	infection_richness_g5_minimum	infection_richness_g5_maximum	infection_richness_g5_sd	pooled_adult_richness_g5_mean	pooled_adult_richness_g5_median	pooled_adult_richness_g5_minimum	pooled_adult_richness_g5_maximum	pooled_adult_richness_g5_sd	release_richness_g5_mean	release_richness_g5_median	release_richness_g5_minimum	release_richness_g5_maximum	release_richness_g5_sd	median_original_occupancy_hosts_g5_mean	median_original_occupancy_hosts_g5_median	median_original_occupancy_hosts_g5_minimum	median_original_occupancy_hosts_g5_maximum	median_original_occupancy_hosts_g5_sd	median_original_occupancy_fraction_g5_mean	median_original_occupancy_fraction_g5_median	median_original_occupancy_fraction_g5_minimum	median_original_occupancy_fraction_g5_maximum	median_original_occupancy_fraction_g5_sd	elapsed_minutes_mean	elapsed_minutes_median	elapsed_minutes_minimum	elapsed_minutes_maximum	elapsed_minutes_sd	output_mib_mean	output_mib_median	output_mib_minimum	output_mib_maximum	output_mib_sd	peak_rss_mib_mean	peak_rss_mib_median	peak_rss_mib_minimum	peak_rss_mib_maximum	peak_rss_mib_sd
p01-s01-c0001	c0001	No return, mutation off	100	0.0	0	0.0	0.0	100.0	100.0	100.0	100.0	0.0	3.5330417033688466	3.5330417033688466	3.5330417033688466	3.5330417033688466	0.0	0.9549670784452736	0.9549670784452735	0.9549670784452735	0.9549670784452735	1.3597399555105182e-16	34.227920618960724	34.227920618960724	34.227920618960724	34.227920618960724	0.0	22.205976549506016	22.205976549506016	22.205976549506016	22.205976549506016	0.0	0.7671902580535775	0.7671902580535777	0.7671902580535777	0.7671902580535777	1.3597399555105182e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	69.33333333333333	68.0	66.0	74.0	4.163331998932265	50.333333333333336	51.0	46.0	54.0	4.041451884327381	0.0	0.0	0.0	0.0	0.0	3.0	3.0	2.5	3.5	0.5	0.03	0.03	0.025	0.035	0.005000000000000001	0.09093139034424287	0.10217994005070068	0.06825841858323353	0.10235581239879442	0.0196355664325568	0.12103430430094402	0.12141895294189453	0.1199197769165039	0.1217641830444336	0.0009805225259650885	106.20442708333333	105.82421875	104.63671875	108.15234375	1.7883857435431354
p01-s01-c0002	c0002	No return, within-host mutation on	100	0.0	0	0.0	1e-10	100.0	100.0	100.0	100.0	0.0	3.5330417033688466	3.5330417033688466	3.5330417033688466	3.5330417033688466	0.0	0.9549670784452736	0.9549670784452735	0.9549670784452735	0.9549670784452735	1.3597399555105182e-16	34.227920618960724	34.227920618960724	34.227920618960724	34.227920618960724	0.0	22.205976549506016	22.205976549506016	22.205976549506016	22.205976549506016	0.0	0.7671902580535775	0.7671902580535777	0.7671902580535777	0.7671902580535777	1.3597399555105182e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25373.333333333332	25319.0	25233.0	25568.0	173.98371571309002	4.0	4.0	3.0	5.0	1.0	569.6666666666666	574.0	550.0	585.0	17.8978583448784	0.0	0.0	0.0	0.0	0.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	69.33333333333333	68.0	66.0	74.0	4.163331998932265	168.33333333333334	169.0	164.0	172.0	4.041451884327381	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	3.0	0.0	0.03	0.03	0.03	0.03	0.0	0.13684852698352187	0.13671654328354635	0.13664580209879204	0.13718323556822726	0.0002920161918656519	1.0260454813639324	1.0232954025268555	1.0221548080444336	1.0326862335205078	0.005779267327882457	107.88151041666667	107.74609375	107.5390625	108.359375	0.42659278547860585
p01-s01-c0003	c0003	Matched return R=1e9, H=100	100	0.01	1000000000	0.5	0.0	100.0	100.0	100.0	100.0	0.0	3.393433073300575	3.3236756051005405	3.317128698915026	3.539494915886159	0.12653561510409767	0.9524595308335099	0.9501793293424495	0.9490357013247368	0.9581635618333433	0.004972820979687462	29.9309214430362	27.762206159923373	27.581043275977066	34.44951489320817	3.914264946778983	21.19872570888937	20.071989935134425	19.621578752056376	23.902608439477305	2.352435742807696	0.7368746292212164	0.7217269874658081	0.7203053448508545	0.7685915553469865	0.027476859701971654	0.17625597233333332	0.172089357	0.15971870999999999	0.19695985000000002	0.018966974973012356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	100.0	100.0	0.0	0.17625597233333332	0.172089357	0.15971870999999999	0.19695985000000002	0.018966974973012356	59.0	58.0	54.0	65.0	5.5677643628300215	47.666666666666664	45.0	44.0	54.0	5.507570547286102	47.666666666666664	45.0	44.0	54.0	5.507570547286102	3.3333333333333335	3.0	3.0	4.0	0.5773502691896258	0.03333333333333333	0.03	0.03	0.04	0.005773502691896259	0.09147771482756879	0.10291196545003914	0.06859873438176388	0.10292244465090335	0.01981377897154037	0.15065288543701172	0.15111446380615234	0.14934539794921875	0.15149879455566406	0.0011485078055052287	106.42708333333333	106.36328125	106.25	106.66796875	0.21616544213263097
p01-s01-c0004	c0004	Matched return R=1e9, H=1000	1000	0.001	1000000000	0.5	0.0	100.0	100.0	100.0	100.0	0.0	3.5160231966345017	3.5084968974111455	3.500409164538508	3.5391635279538516	0.020444046955819417	0.9544655751081063	0.9541030984751488	0.9534117251727733	0.9558819016763964	0.0012743566894096085	33.655044801012096	33.39802937224822	33.12900439971054	34.43810063107754	0.6913580358337003	21.973008746289807	21.787963169115972	21.464628250531163	22.66643481922228	0.6219052631719545	0.763494736271098	0.7618604211601698	0.7601041922813229	0.7685195953718014	0.004439368390341688	0.06663744133333332	0.073359737	0.04904809800000001	0.07750448899999998	0.015373141886380412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	100.0	100.0	0.0	0.06663744133333332	0.073359737	0.04904809800000001	0.07750448899999998	0.015373141886380412	94.0	94.0	94.0	94.0	0.0	87.0	86.0	86.0	89.0	1.7320508075688772	87.0	86.0	86.0	89.0	1.7320508075688772	11.333333333333334	11.5	11.0	11.5	0.2886751345948129	0.011333333333333334	0.0115	0.011	0.0115	0.00028867513459481317	0.6040558138441864	0.6158675449007812	0.5804212634490492	0.6158786331827286	0.02046812180007504	1.0846223831176758	1.085007667541504	1.082840919494629	1.0860185623168945	0.0016234797633193612	106.60546875	106.50390625	106.4296875	106.8828125	0.24303656609847313
p01-s01-c0005	c0005	Matched return R=1e9, H=10000	10000	0.0001	1000000000	0.5	0.0	100.0	100.0	100.0	100.0	0.0	3.529932179933317	3.528505189503545	3.5239216634033252	3.5373696868930824	0.006836633689928259	0.9549543164584904	0.9551316875695419	0.9545489530777541	0.9551823087281754	0.00035196623169967583	34.12218537867748	34.07299685508742	33.917179753358695	34.37637952758634	0.23351818195251345	22.20058494916012	22.287443985104474	22.00169341997167	22.31261744240422	0.17270438913153377	0.7665150336188781	0.7662051665841887	0.7652098665376962	0.7681300677347496	0.0014845561431648293	0.02272956933333334	0.023407454000000008	0.020519125000000017	0.02426212900000001	0.001961419244317828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	100.0	100.0	0.0	0.02272956933333334	0.023407454000000008	0.020519125000000017	0.02426212900000001	0.001961419244317828	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	0.0	87.0	86.5	86.5	88.0	0.8660254037844386	0.0087	0.00865	0.00865	0.0088	8.660254037844434e-05	5.997392795033779	5.5650648390330995	5.321419592184247	7.105693953883989	0.9675171035230071	10.76004409790039	10.758341789245605	10.757938385009766	10.7638521194458	0.0033040058734972533	107.00130208333333	106.9921875	106.953125	107.05859375	0.05332186257667518
p01-s01-c0006	c0006	Matched return R=1e9, H=100000	100000	1e-05	1000000000	0.5	0.0	100.0	100.0	100.0	100.0	0.0	3.5336115598313333	3.533318356980928	3.531688676549708	3.5358276459633635	0.0020850042890622374	0.9549735726156293	0.9550028452377977	0.9548944219593409	0.9550234506497494	6.93164161190288e-05	34.247480813754436	34.237391206809754	34.181640640486286	34.32341059396727	0.07142149573989284	22.20921438338266	22.223627366768536	22.170206955303396	22.233808828076043	0.03416284710922369	0.7673140008121452	0.7672503326221405	0.7668964520128683	0.7677952178014267	0.0004527529287421635	0.005848264333333339	0.005871853000000014	0.005703613000000001	0.0059693270000000034	0.00013441838172413022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	100.0	100.0	0.0	0.005848264333333339	0.005871853000000014	0.005703613000000001	0.0059693270000000034	0.00013441838172413022	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	0.0	100.0	100.0	100.0	100.0	0.0	838.6666666666666	829.5	812.0	874.5	32.24257020358851	0.008386666666666666	0.008295	0.00812	0.008745	0.00032242570203588444	65.23187213524426	69.99439989383293	52.7145824091994	72.98663410270044	10.94304678572153	111.50194772084554	111.51659679412842	111.46346759796143	111.52577877044678	0.0336395164228047	106.96354166666667	107.0546875	106.66015625	107.17578125	0.26962558735544895
p01-s01-c0007	c0007	Mutation bracket u=1e-12	100	0.01	1000000000	0.5	1e-12	101.0	101.0	100.0	102.0	1.0	3.5169550353967893	3.4995636543842057	3.4958076789459716	3.555493772860192	0.033428319608199586	0.959177733685811	0.9597394488357794	0.9548926925474642	0.9629010596741894	0.004033624789365148	33.69433918509416	33.10100532850618	32.976911957224445	35.00510026955185	1.1368468483465781	24.654171381190054	24.838209390652757	22.16935695069475	26.95494780222266	2.3980976713328737	0.7620576398316063	0.7591049923806249	0.7566668596045447	0.7704010675096495	0.007327735797809686	0.22820089433333332	0.229499334	0.20434856499999998	0.25075478399999995	0.023230341143534027	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	1.0	1.3333333333333335e-09	1e-09	0.0	3e-09	1.5275252316519467e-09	257.6666666666667	246.0	246.0	281.0	20.207259421636902	1.3333333333333333	1.0	1.0	2.0	0.5773502691896257	6.666666666666667	8.0	1.0	11.0	5.131601439446884	2.0	2.0	1.0	3.0	1.0	100.0	100.0	100.0	100.0	0.0	0.22820089433333332	0.229499334	0.20434856499999995	0.25075478399999995	0.02323034114353404	59.333333333333336	58.0	57.0	63.0	3.214550253664318	54.0	53.0	51.0	58.0	3.605551275463989	53.0	51.0	51.0	57.0	3.4641016151377544	4.0	4.0	3.0	5.0	1.0	0.04	0.04	0.03	0.05	0.010000000000000002	0.1482330584174229	0.13681078165148694	0.13665835200032841	0.17123004160045335	0.019916117476558456	0.16154257456461588	0.16129493713378906	0.15993118286132812	0.16340160369873047	0.0017484131148069607	106.29557291666667	106.203125	106.08203125	106.6015625	0.2718237349895072
p01-s01-c0008	c0008	Mutation bracket u=1e-11	100	0.01	1000000000	0.5	1e-11	103.66666666666667	104.0	100.0	107.0	3.511884584284246	3.5086048509800807	3.496485687917379	3.4957947049064257	3.533534160116437	0.02159217925296968	0.958909183984518	0.9597379966671977	0.9556333327605788	0.9613562225257775	0.002950095704105528	33.40684761249664	32.999278180774056	32.97648411624003	34.244780540475844	0.7257606948494405	24.41804821842187	24.83731352695211	22.539443736072855	25.87738739224065	1.7080118594847118	0.7560433580179581	0.7561873728514896	0.7528405260986513	0.7591021751037336	0.0031333077202725995	0.22421734899999998	0.22415068	0.19774617399999997	0.25075519299999993	0.026504572386708298	0.0	0.0	0.0	0.0	0.0	3.6666666666666665	4.0	0.0	7.0	3.511884584284246	4.666666666666666e-09	5e-09	0.0	9e-09	4.509249752822894e-09	2581.3333333333335	2585.0	2571.0	2588.0	9.073771725877467	2.6666666666666665	3.0	2.0	3.0	0.5773502691896258	62.333333333333336	64.0	55.0	68.0	6.658328118479393	15.666666666666666	20.0	7.0	20.0	7.505553499465135	100.0	100.0	100.0	100.0	0.0	0.2242173453333333	0.22415067599999997	0.197746167	0.25075519299999993	0.026504575887328827	59.666666666666664	58.0	56.0	65.0	4.725815626252609	65.33333333333333	66.0	61.0	69.0	4.041451884327381	55.0	55.0	51.0	59.0	4.0	3.6666666666666665	4.0	3.0	4.0	0.5773502691896258	0.036666666666666674	0.04	0.03	0.04	0.005773502691896259	0.13704928155509857	0.13708082244847902	0.13655832905011872	0.13750869316669803	0.00047596650038297895	0.24485460917154947	0.24539470672607422	0.24352550506591797	0.24564361572265625	0.0011577466108133384	106.58203125	106.6171875	106.3828125	106.74609375	0.1841746130332232
p01-s01-c0009	c0009	Mutation bracket u=1e-10	100	0.01	1000000000	0.5	1e-10	144.33333333333334	144.0	141.0	148.0	3.5118845842842465	3.5141055234401573	3.5191683743416906	3.4889685528553884	3.534179643123393	0.02302683250566141	0.9587176432669544	0.9601430049275379	0.9546784332155013	0.9613314916578244	0.003548173974995796	33.59179480465662	33.75634414572607	32.752148168301915	34.266892099941884	0.7706618317036468	24.3383621701463	25.089698763841806	22.064550520835688	25.860837225761415	2.006571253224871	0.7067914429877122	0.7050187582628449	0.7042263129020336	0.711129257798258	0.0037774952561731644	0.22612498466666664	0.234131704	0.197167194	0.247076056	0.025899889814357153	0.0	0.0	0.0	0.0	0.0	44.333333333333336	44.0	41.0	48.0	3.5118845842842465	6.133333333333334e-08	5.8e-08	5.8e-08	6.8e-08	5.773502691896256e-09	25414.333333333332	25456.0	25316.0	25471.0	85.4887906882144	3.3333333333333335	3.0	3.0	4.0	0.5773502691896258	560.0	554.0	544.0	582.0	19.697715603592208	130.66666666666666	124.0	124.0	144.0	11.547005383792515	100.0	100.0	100.0	100.0	0.0	0.226124962	0.23413168	0.19716716899999998	0.24707603700000003	0.02589989239570312	58.333333333333336	57.0	55.0	63.0	4.163331998932266	165.33333333333334	160.0	159.0	177.0	10.115993936995679	81.0	81.0	80.0	82.0	1.0	4.0	4.0	3.0	5.0	1.0	0.04	0.04	0.03	0.05	0.010000000000000002	0.14840475758278948	0.13703219888266177	0.13673958771590453	0.17144248614980218	0.019951794617759127	1.0620670318603516	1.063161849975586	1.0590295791625977	1.064009666442871	0.0026644487908138396	108.17057291666667	108.12890625	107.98828125	108.39453125	0.2063052325035246
p01-s01-c0010	c0010	Mutation bracket u=1e-9	100	0.01	1000000000	0.5	1e-09	524.6666666666666	522.0	519.0	533.0	7.371114795831994	3.5226287606268065	3.5191954322955072	3.4947869236323346	3.553903925952576	0.029707672382832874	0.9591969325393007	0.960144891795795	0.954784312406826	0.9626615934152809	0.004023289585093384	33.883339014780205	33.757257535684154	32.94326777327781	34.949491735378636	1.0090371901249078	24.663059785839053	25.09088659040427	22.116217915283126	26.78207485182976	2.362166816528512	0.5624728320224194	0.562381331841609	0.55899562580329	0.5660415384223592	0.003523847381940058	0.22687916933333332	0.23211542100000002	0.201439868	0.24708221899999996	0.023267354809674904	0.0	0.0	0.0	0.0	0.0	424.6666666666667	422.0	419.0	433.0	7.371114795831994	5.626666666666666e-07	5.69e-07	5.38e-07	5.81e-07	2.218858565419018e-08	253631.33333333334	253663.0	253517.0	253714.0	102.2464343306569	8.0	8.0	8.0	8.0	0.0	5691.0	5689.0	5671.0	5713.0	21.071307505705477	1294.3333333333333	1298.0	1279.0	1306.0	13.868429375143146	100.0	100.0	100.0	100.0	0.0	0.226878959	0.232115182	0.201439661	0.24708203399999998	0.02326736076023834	59.333333333333336	58.0	57.0	63.0	3.2145502536643185	1189.3333333333333	1187.0	1181.0	1200.0	9.71253485622231	316.3333333333333	321.0	304.0	324.0	10.785793124908956	4.333333333333333	5.0	3.0	5.0	1.1547005383792517	0.043333333333333335	0.05	0.03	0.05	0.011547005383792516	0.23934511279997728	0.2394564505336651	0.2390191607332478	0.2395597271330189	0.00028696703007040423	9.234310150146484	9.237296104431152	9.220596313476562	9.245038032531738	0.012491451070057112	123.10286458333333	123.0078125	122.8359375	123.46484375	0.32504913741120867
