cell_id	cell	seed_block_id	generation	environment_richness	environment_gene_diversity	mean_adult_richness	mean_adult_gene_diversity
p01-s01-c0001	c0001	sb0001	0	100	0.9549670784452735		
p01-s01-c0001	c0001	sb0001	1	100	0.9549670794002406	3.33	0.5307801855202701
p01-s01-c0001	c0001	sb0001	2	100	0.9549670794002406	3.39	0.5156879845086711
p01-s01-c0001	c0001	sb0001	3	100	0.9549670794002406	3.37	0.53843822706024
p01-s01-c0001	c0001	sb0001	4	100	0.9549670794002406	3.24	0.5134455978096976
p01-s01-c0001	c0001	sb0001	5	100	0.9549670794002406	3.19	0.5250249942486196
p01-s01-c0001	c0001	sb0002	0	100	0.9549670784452735		
p01-s01-c0001	c0001	sb0002	1	100	0.9549670794002406	3.44	0.5343038785308056
p01-s01-c0001	c0001	sb0002	2	100	0.9549670794002406	3.58	0.5780289471537623
p01-s01-c0001	c0001	sb0002	3	100	0.9549670794002406	3.47	0.5299853812697355
p01-s01-c0001	c0001	sb0002	4	100	0.9549670794002406	3.45	0.5370658034428675
p01-s01-c0001	c0001	sb0002	5	100	0.9549670794002406	3.3	0.5284947497544467
p01-s01-c0001	c0001	sb0003	0	100	0.9549670784452735		
p01-s01-c0001	c0001	sb0003	1	100	0.9549670794002406	3.54	0.5320707303867416
p01-s01-c0001	c0001	sb0003	2	100	0.9549670794002406	3.33	0.5416110426034232
p01-s01-c0001	c0001	sb0003	3	100	0.9549670794002406	3.58	0.5514458326094155
p01-s01-c0001	c0001	sb0003	4	100	0.9549670794002406	3.45	0.5362055023212186
p01-s01-c0001	c0001	sb0003	5	100	0.9549670794002406	3.25	0.5237251757509442
p01-s01-c0002	c0002	sb0001	0	100	0.9549670784452735		
p01-s01-c0002	c0002	sb0001	1	100	0.9549670794002406	4.44	0.5185682886068989
p01-s01-c0002	c0002	sb0001	2	100	0.9549670794002406	4.56	0.5407140000571488
p01-s01-c0002	c0002	sb0001	3	100	0.9549670794002406	4.69	0.5330241369618753
p01-s01-c0002	c0002	sb0001	4	100	0.9549670794002406	4.59	0.545780507866694
p01-s01-c0002	c0002	sb0001	5	100	0.9549670794002406	4.41	0.5111904772193396
p01-s01-c0002	c0002	sb0002	0	100	0.9549670784452735		
p01-s01-c0002	c0002	sb0002	1	100	0.9549670794002406	4.52	0.5144838523451263
p01-s01-c0002	c0002	sb0002	2	100	0.9549670794002406	4.64	0.544486068722183
p01-s01-c0002	c0002	sb0002	3	100	0.9549670794002406	4.57	0.5051521063283784
p01-s01-c0002	c0002	sb0002	4	100	0.9549670794002406	4.7	0.5439330758490049
p01-s01-c0002	c0002	sb0002	5	100	0.9549670794002406	4.67	0.5347228767079053
p01-s01-c0002	c0002	sb0003	0	100	0.9549670784452735		
p01-s01-c0002	c0002	sb0003	1	100	0.9549670794002406	4.74	0.5461514211339829
p01-s01-c0002	c0002	sb0003	2	100	0.9549670794002406	4.32	0.532594797856705
p01-s01-c0002	c0002	sb0003	3	100	0.9549670794002406	4.32	0.53197739030528
p01-s01-c0002	c0002	sb0003	4	100	0.9549670794002406	4.85	0.5568746471163781
p01-s01-c0002	c0002	sb0003	5	100	0.9549670794002406	4.38	0.5207918885027639
p01-s01-c0003	c0003	sb0001	0	100	0.9549670784452735		
p01-s01-c0003	c0003	sb0001	1	100	0.9564751316072629	3.33	0.5307801855202701
p01-s01-c0003	c0003	sb0001	2	100	0.955410840601753	3.39	0.5341785961884893
p01-s01-c0003	c0003	sb0001	3	100	0.9582180208855954	3.38	0.5160456355177696
p01-s01-c0003	c0003	sb0001	4	100	0.9574490957905503	3.31	0.5301801044555469
p01-s01-c0003	c0003	sb0001	5	100	0.9581635627915069	3.37	0.5340380249791761
p01-s01-c0003	c0003	sb0002	0	100	0.9549670784452735		
p01-s01-c0003	c0003	sb0002	1	100	0.9536171288336264	3.44	0.5343038785308056
p01-s01-c0003	c0003	sb0002	2	100	0.9511419279374503	3.51	0.5716925210986075
p01-s01-c0003	c0003	sb0002	3	100	0.9473697005548243	3.23	0.5002768176255299
p01-s01-c0003	c0003	sb0002	4	100	0.9515856707138141	3.3	0.5193504807116941
p01-s01-c0003	c0003	sb0002	5	100	0.9501793302926289	3.41	0.5196942977908571
p01-s01-c0003	c0003	sb0003	0	100	0.9549670784452735		
p01-s01-c0003	c0003	sb0003	1	100	0.9533911266436598	3.54	0.5320707303867416
p01-s01-c0003	c0003	sb0003	2	100	0.952577366945434	3.45	0.5639581370311104
p01-s01-c0003	c0003	sb0003	3	100	0.9515972172165826	3.45	0.5402658959827517
p01-s01-c0003	c0003	sb0003	4	100	0.9508087319401304	3.52	0.5520587716785487
p01-s01-c0003	c0003	sb0003	5	100	0.9490357022737725	3.35	0.5427467847122195
p01-s01-c0004	c0004	sb0001	0	100	0.9549670784452735		
p01-s01-c0004	c0004	sb0001	1	100	0.9551178338134144	3.414	0.5359418250948071
p01-s01-c0004	c0004	sb0001	2	100	0.9552200133722014	3.422	0.5360940233578741
p01-s01-c0004	c0004	sb0001	3	100	0.9551745252224525	3.459	0.5350981178873139
p01-s01-c0004	c0004	sb0001	4	100	0.9550376309266387	3.381	0.535219963329567
p01-s01-c0004	c0004	sb0001	5	100	0.9534117261261851	3.413	0.5385151122590442
p01-s01-c0004	c0004	sb0002	0	100	0.9549670784452735		
p01-s01-c0004	c0004	sb0002	1	100	0.9550836126335801	3.357	0.5226567764699653
