contrast	treatment	reference	response	n_pairs	scale	mean	sd	ci90_low	ci90_high	equivalence_margin	status	alpha_target	m
host-effect-alpha-0.01-m-0	p01-s03-c0070	p01-s03-c0063	D0_g100	12	relative change	0.0	0.0	0.0	0.0	0.05	equivalent	0.01	0.0
host-effect-alpha-0.01-m-0	p01-s03-c0070	p01-s03-c0063	D1_g100	12	relative change	-0.0006980247439271151	0.003414934102445707	-0.002468419782475589	0.001072370294621359	0.05	equivalent	0.01	0.0
host-effect-alpha-0.01-m-0	p01-s03-c0070	p01-s03-c0063	D2_g100	12	relative change	-0.000300153189872282	0.0042645194838842335	-0.0025109964769081494	0.0019106900971635854	0.05	equivalent	0.01	0.0
host-effect-alpha-0.01-m-0	p01-s03-c0070	p01-s03-c0063	evenness_g100	12	absolute difference	-0.00015278980968238173	0.000742286239377042	-0.0005376112545339119	0.00023203163516914843	0.02	equivalent	0.01	0.0
host-effect-alpha-0.01-m-0	p01-s03-c0070	p01-s03-c0063	TV_g100	12	absolute difference	0.006245413083333335	0.0006728037133410761	0.005896613276284945	0.006594212890381725	0.05	equivalent	0.01	0.0
host-effect-alpha-0.01-m-0	p01-s03-c0070	p01-s03-c0063	TV_tail_mean	12	absolute difference	0.005242662821666665	0.0003755181011324522	0.005047983989459065	0.005437341653874265	0.05	equivalent	0.01	0.0
host-effect-alpha-0.01-m-0	p01-s03-c0070	p01-s03-c0063	TV_tail_sd	12	absolute difference	0.0006295430499247626	0.00021773514824928192	0.0005166632066791566	0.0007424228931703685	0.05	equivalent	0.01	0.0
host-effect-alpha-0.01-m-0.001	p01-s03-c0071	p01-s03-c0064	D0_g100	12	relative change	0.0	0.0	0.0	0.0	0.05	equivalent	0.01	0.001
host-effect-alpha-0.01-m-0.001	p01-s03-c0071	p01-s03-c0064	D1_g100	12	relative change	-0.0006199082552789115	0.0032072604295557625	-0.002282639594004252	0.001042823083446429	0.05	equivalent	0.01	0.001
host-effect-alpha-0.01-m-0.001	p01-s03-c0071	p01-s03-c0064	D2_g100	12	relative change	-0.00030918468943464766	0.004052700263808939	-0.002410215111846879	0.0017918457329775836	0.05	equivalent	0.01	0.001
host-effect-alpha-0.01-m-0.001	p01-s03-c0071	p01-s03-c0064	evenness_g100	12	absolute difference	-0.0001356785931633797	0.0006971053281474034	-0.0004970770205631923	0.0002257198342364329	0.02	equivalent	0.01	0.001
